TEAM,#,PLAYER,SP,MP,MS,PTS,PTS/S,K,K/S,E,HA,PCT,A,A/S,SA,SA/S,SE,DIG,DIG/S,RE,RA,REC%,RE/S,BS,BA,BLK,BLK/S,BE,BHE
OREGON,1,"Ferreira, Elise",78,24,1,19,0.24,0,0,0,0,0,5,0.06,19,0.24,26,34,0.44,0,0,0,0,0,0,0,0,0,0
OREGON,2,"Thibault, Kate",59,20,2,18,0.31,0,0,0,0,0,5,0.08,18,0.31,24,79,1.34,13,112,0.884,0.22,0,0,0,0,0,0
OREGON,3,"Glover, Noemie",11,8,0,13.5,1.23,12,1.09,7,33,0.152,0,0,0,0,0,0,0,0,2,1,0,0,3,3,0.27,1,0
OREGON,4,"McClellan, Daley",117,33,3,29,0.25,1,0.01,0,3,0.333,34,0.29,28,0.24,47,180,1.54,26,355,0.927,0.22,0,0,0,0,0,1
OREGON,7,"Neal, Colby",35,13,6,47,1.34,30,0.86,15,70,0.214,0,0,0,0,0,5,0.14,0,4,1,0,3,28,31,0.89,2,1
OREGON,8,"Gonzales, Gabby",123,34,34,393.5,3.2,347,2.82,109,941,0.253,42,0.34,28,0.23,58,303,2.46,48,973,0.951,0.39,2,33,35,0.28,2,2
OREGON,9,"Pukis, Hannah",123,34,34,181.5,1.48,105,0.85,32,255,0.286,1354,11.01,31,0.25,44,375,3.05,1,6,0.833,0.01,7,77,84,0.68,13,5
OREGON,10,"Murphy, Georgia",123,34,0,24,0.2,2,0.02,0,2,1,141,1.15,22,0.18,21,429,3.49,24,470,0.949,0.2,0,0,0,0,1,2
OREGON,11,"Lewis, Morgan",121,34,29,402,3.32,351,2.9,95,752,0.34,5,0.04,0,0,0,35,0.29,1,12,0.917,0.01,6,90,96,0.79,3,3
OREGON,15,"Colyer, Mimi",123,34,34,543.5,4.42,459,3.73,207,1236,0.204,19,0.15,43,0.35,82,293,2.38,18,198,0.909,0.15,9,65,74,0.6,0,2
OREGON,17,"McGhee, Kara",120,34,33,336,2.8,248,2.07,56,461,0.416,5,0.04,0,0,0,23,0.19,2,31,0.935,0.02,27,122,149,1.24,8,2
OREGON,42,"Bacon, Karson",101,30,28,239,2.37,169,1.67,46,344,0.358,2,0.02,0,0,0,16,0.16,1,10,0.9,0.01,10,120,130,1.29,14,0
MSU,1,"Iosia, Nalani",116,31,0,26,0.22,1,0.01,3,24,-0.083,148,1.28,25,0.22,38,483,4.16,37,518,0.929,0.32,0,0,0,0,0,0
MSU,2,"Staniszewska, Karolina",89,26,23,143.5,1.61,117,1.31,70,404,0.116,20,0.22,19,0.21,43,177,1.99,32,458,0.93,0.36,1,13,14,0.16,1,1
MSU,4,"Aslayan, Selin",10,6,0,10,1,8,0.8,5,26,0.115,0,0,0,0,0,5,0.5,1,6,0.833,0.1,1,2,3,0.3,0,0
MSU,5,"Clayton, Makya",17,8,0,4,0.24,0,0,0,0,0,0,0,4,0.24,2,4,0.24,0,0,0,0,0,0,0,0,0,0
MSU,6,"Okur, Nil",58,18,13,115.5,1.99,82,1.41,30,195,0.267,5,0.09,10,0.17,16,32,0.55,0,4,1,0,5,37,42,0.72,1,0
MSU,9,"Kulig, Zuzanna",42,12,11,89,2.12,63,1.5,15,128,0.375,2,0.05,5,0.12,9,18,0.43,0,4,1,0,5,32,37,0.88,9,0
MSU,10,"O'Gorman, Maradith",27,11,5,25.5,0.94,20,0.74,15,65,0.077,1,0.04,0,0,0,14,0.52,0,6,1,0,0,11,11,0.41,2,0
MSU,12,"Doezema, Evie",102,31,23,178,1.75,143,1.4,52,354,0.257,6,0.06,4,0.04,9,33,0.32,1,14,0.929,0.01,5,52,57,0.56,5,0
MSU,13,"Moore, Aliyah",95,26,12,235,2.47,209,2.2,79,528,0.246,4,0.04,0,0,0,40,0.42,7,126,0.944,0.07,1,50,51,0.54,5,1
MSU,14,"Holdem, Taylah",116,31,31,450.5,3.88,399,3.44,215,1081,0.17,15,0.13,33,0.28,79,238,2.05,53,781,0.932,0.46,6,25,31,0.27,4,1
MSU,16,"Kelly, Grace",89,30,5,209.5,2.35,194,2.18,100,534,0.176,3,0.03,2,0.02,6,44,0.49,10,56,0.821,0.11,3,21,24,0.27,3,1
MSU,17,"Swain, Jayhlin",63,19,3,23,0.37,1,0.02,0,4,0.25,13,0.21,22,0.35,31,111,1.76,13,200,0.935,0.21,0,0,0,0,0,0
